Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
189,60,RFBU,,False,Not Selected,,,,US,USD,H,-609627.0,X,,2018.0,2018,12,1
190,60,RFBU,,False,Not Selected,,,,US,USD,H,-101146.48,X,,2018.0,2018,12,1
191,60,RFBU,,False,Not Selected,,,,US,USD,H,-1306104.26,X,,2018.0,2018,12,1
192,60,RFBU,,False,Not Selected,,,,US,USD,H,-41950.0,X,,2018.0,2018,12,2
193,60,RFBU,,False,Not Selected,,,,US,USD,S,5479.0,,,,2019,2,2
194,60,RFBU,,False,Not Selected,,,,US,USD,S,20846.44,,,,2019,2,4
195,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-1346.0,,,,2019,2,2
196,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,1357.81,,,,2019,3,2
197,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-37700.73,,,,2019,2,2
198,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,38997.38,,,,2019,3,2
199,60,RFAD,,False,Not Selected,,,,US,USD,S,3308821.94,,,,2019,3,26
200,60,RFAD,,False,Not Selected,,,,US,USD,H,-3023609.0,,,,2019,2,26
201,60,RFAD,,False,Not Selected,,,,US,USD,H,-4468838.0,,,,2019,2,24
202,60,RFAD,,False,Not Selected,,,,US,USD,S,4246008.16,,,,2019,3,24
203,60,RFAD,,False,Not Selected,,,,US,USD,S,206869.0,,,,2019,3,4
204,60,RFAD,,False,Not Selected,,,,US,USD,S,177726.8,,,,2019,3,3
205,60,RFAD,,False,Not Selected,,,,US,USD,H,-173936.0,,,,2019,2,3
206,60,RFAD,,False,Not Selected,,,,US,USD,H,-201203.6,,,,2019,2,4
207,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-8199875.62,,,,2019,2,86
208,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,8394619.0,,,,2019,3,86
209,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-9036328.51,,,,2019,2,2
210,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,8742335.82,,,,2019,3,2
211,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,156487.33,,,,2019,3,2
212,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-169558.37,,,,2019,2,2
213,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,H,-5335686.0,,,,2019,2,19
214,60,RFAD,,False,Selected,2019-03-01,2019-03-14,2019.0,US,USD,S,5501749.0,,,,2019,3,19
215,60,RFBU,,False,Not Selected,,,,US,USD,H,-28933.83,,,,2019,2,2
216,60,RFBU,,False,Not Selected,,,,US,USD,H,-94490.13,,,,2019,2,1
217,60,RFBU,,False,Not Selected,,,,US,USD,H,-49639.24,,,,2019,2,3
218,60,RFAD,,False,Selected,2019-03-15,2019-03-14,2019.0,US,USD,S,12971.0,,,,2019,3,2
219,60,RFAD,,False,Selected,2019-03-15,2019-03-14,2019.0,US,USD,H,-12704.0,,,,2019,2,2
220,60,RFBU,,False,Not Selected,,,,US,USD,H,-179004.2,,,,2019,2,2
221,60,RFBU,,False,Not Selected,,,,US,USD,H,-342441.6,,,,2019,2,1
222,60,RFBU,,False,Not Selected,,,,US,USD,H,-590635.78,,,,2019,2,27
223,60,RFBU,,False,Not Selected,,,,US,USD,H,-1244409.11,,,,2019,2,167
224,60,RFBU,,False,Not Selected,,,,US,USD,H,-10971.45,,,,2019,2,6
225,60,RFBU,,False,Not Selected,,,,US,USD,S,360045.41,,,,2019,2,2
226,60,RFBU,,False,Not Selected,,,,US,USD,H,-40301.0,,,,2019,2,4
227,60,RFBU,,False,Not Selected,,,,US,USD,H,-25080.23,,,,2019,2,1
228,60,RFBU,,False,Not Selected,,,,US,USD,H,-188737.17,,,,2019,2,6
229,60,RFBU,,False,Not Selected,,,,US,USD,H,-38970.0,,,,2019,2,2
230,60,RFBU,,False,Not Selected,,,,US,USD,H,-15936.06,,,,2019,2,4
231,60,RFBU,,False,Not Selected,,,,US,USD,S,348998.0,X,,2009.0,2018,12,2
232,60,RFBU,,False,Not Selected,,,,US,USD,H,-1719921.0,X,,2009.0,2018,12,1
233,60,RFBU,,False,Not Selected,,,,US,USD,S,1303041.64,X,,2009.0,2018,12,1
234,60,RFBU,,False,Not Selected,,,,US,USD,H,-1394065.99,X,,2009.0,2018,12,1
235,60,RFBU,,False,Not Selected,,,,US,USD,H,-2459788.0,X,,2016.0,2018,12,1
236,60,RFBU,,False,Not Selected,,,,US,USD,H,-2158493.34,X,,2016.0,2018,12,2
237,60,RFBU,,False,Not Selected,,,,US,USD,H,-629948.76,X,,2017.0,2018,12,1
238,60,RFBU,,False,Not Selected,,,,US,USD,H,-181900.33,X,,2017.0,2018,12,2
239,60,RFBU,,False,Not Selected,,,,US,USD,H,-1619139.0,X,,2017.0,2018,12,1
240,60,RFBU,,False,Not Selected,,,,US,USD,H,-124862.61,X,,2018.0,2018,12,1
241,60,RFBU,,False,Not Selected,,,,US,USD,H,-577770.99,X,,2018.0,2018,12,2
242,60,RFBU,,False,Not Selected,,,,US,USD,H,-1366028.9,X,,2018.0,2018,12,1
